T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,Vol%,,,
,,,,Hydrohalite,Sylvite,Gypsum,Mirabilite,Hydrohalite,Sylvite,Gypsum,Mirabilite
270.5,235.724,1.04396,833.247,0,0,0.012572,0,0.0%,0.0%,100.0%,0.0%
270.45,229.239,1.045,7.10005,0,0,0.00597615,0,0.0%,0.0%,100.0%,0.0%
270.4,223.095,1.04603,6.72735,0,0,0.00566882,0,0.0%,0.0%,100.0%,0.0%
270.35,217.266,1.04706,6.38281,0,0,0.00538541,0,0.0%,0.0%,100.0%,0.0%
270.3,211.729,1.04809,6.06367,0,0,0.0051232,0,0.0%,0.0%,100.0%,0.0%
270.25,206.462,1.04912,5.76749,0,0,0.00487918,0,0.0%,0.0%,100.0%,0.0%
270.2,201.447,1.05016,5.49214,0,0,0.00465341,0,0.0%,0.0%,100.0%,0.0%
270.15,196.667,1.05119,5.23571,0,0,0.00444247,0,0.0%,0.0%,100.0%,0.0%
270.1,192.105,1.05222,4.99652,0,0,0.00424647,0,0.0%,0.0%,100.0%,0.0%
270.05,187.747,1.05325,4.77306,0,0,0.00406356,0,0.0%,0.0%,100.0%,0.0%
270,183.377,1.05424,4.75772,0,0,0.00400368,0.029674,0.0%,0.0%,11.9%,88.1%
269.95,176.272,1.05462,7.32569,0,0,0.00539397,0.466192,0.0%,0.0%,1.1%,98.9%
269.9,169.715,1.05501,6.76192,0,0,0.00495533,0.429787,0.0%,0.0%,1.1%,98.9%
269.85,163.643,1.05539,6.26186,0,0,0.00456791,0.397589,0.0%,0.0%,1.1%,98.9%
269.8,158.005,1.05578,5.81506,0,0,0.00422152,0.368793,0.0%,0.0%,1.1%,98.9%
269.75,152.755,1.05616,5.41485,0,0,0.00391199,0.343036,0.0%,0.0%,1.1%,98.9%
269.7,147.855,1.05655,5.05441,0,0,0.00363303,0.319814,0.0%,0.0%,1.1%,98.9%
269.65,143.27,1.05694,4.72911,0,0,0.00338186,0.298886,0.0%,0.0%,1.1%,98.9%
269.6,138.972,1.05733,4.43404,0,0,0.00315378,0.279876,0.0%,0.0%,1.1%,98.9%
269.55,134.934,1.05771,4.16619,0,0,0.00294759,0.262667,0.0%,0.0%,1.1%,98.9%
269.5,131.133,1.0581,3.922,0,0,0.00275987,0.246987,0.0%,0.0%,1.1%,98.9%
269.45,127.549,1.05849,3.69841,0,0,0.00258755,0.232592,0.0%,0.0%,1.1%,98.9%
269.4,124.163,1.05888,3.49369,0,0,0.00243039,0.219446,0.0%,0.0%,1.1%,98.9%
269.35,120.96,1.05927,3.30552,0,0,0.00228603,0.207362,0.0%,0.0%,1.1%,98.9%
269.3,117.926,1.05966,3.13215,0,0,0.00215304,0.196222,0.0%,0.0%,1.1%,98.9%
269.25,115.046,1.06005,2.97221,0,0,0.00203074,0.185965,0.0%,0.0%,1.1%,98.9%
269.2,112.31,1.06045,2.82426,0,0,0.0019177,0.176478,0.0%,0.0%,1.1%,98.9%
269.15,109.707,1.06084,2.68706,0,0,0.00181291,0.167676,0.0%,0.0%,1.1%,98.9%
269.1,107.228,1.06123,2.55969,0,0,0.00171579,0.15951,0.0%,0.0%,1.1%,98.9%
269.05,104.863,1.06162,2.44168,0,0,0.00162703,0.152028,0.0%,0.0%,1.1%,98.9%
269,102.606,1.06202,2.33043,0,0,0.00154059,0.144767,0.0%,0.0%,1.1%,98.9%
268.95,100.449,1.06241,2.22777,0,0,0.00146356,0.138261,0.0%,0.0%,1.0%,99.0%
268.9,98.385,1.0628,2.1315,0,0,0.00139079,0.132116,0.0%,0.0%,1.0%,99.0%
268.85,96.4087,1.0632,2.04115,0,0,0.00132205,0.126312,0.0%,0.0%,1.0%,99.0%
268.8,94.5144,1.06359,1.95667,0,0,0.00125841,0.120926,0.0%,0.0%,1.0%,99.0%
268.75,92.6971,1.06399,1.87734,0,0,0.00119873,0.115871,0.0%,0.0%,1.0%,99.0%
268.7,90.9522,1.06438,1.80255,0,0,0.00114204,0.111068,0.0%,0.0%,1.0%,99.0%
268.65,89.2757,1.06478,1.73206,0,0,0.00108843,0.106521,0.0%,0.0%,1.0%,99.0%
268.6,87.663,1.06517,1.66646,0,0,0.00104074,0.10246,0.0%,0.0%,1.0%,99.0%
268.55,86.1111,1.06557,1.60367,0,0,0.000992849,0.0983918,0.0%,0.0%,1.0%,99.0%
268.5,84.6163,1.06596,1.5447,0,0,0.000948818,0.0946416,0.0%,0.0%,1.0%,99.0%
268.45,83.1757,1.06636,1.48888,0,0,0.000907055,0.0910811,0.0%,0.0%,1.0%,99.0%
268.4,81.7864,1.06675,1.43606,0,0,0.000867623,0.0877149,0.0%,0.0%,1.0%,99.0%
268.35,80.4455,1.06715,1.38605,0,0,0.000830481,0.0845401,0.0%,0.0%,1.0%,99.0%
268.3,79.1507,1.06755,1.3386,0,0,0.000795249,0.0815249,0.0%,0.0%,1.0%,99.0%
268.25,77.8996,1.06794,1.29342,0,0,0.000761365,0.0786208,0.0%,0.0%,1.0%,99.0%
268.2,76.6899,1.06834,1.25086,0,0,0.000730511,0.0759746,0.0%,0.0%,1.0%,99.0%
268.15,75.5197,1.06874,1.21003,0,0,0.000700007,0.0733531,0.0%,0.0%,0.9%,99.1%
268.1,74.3871,1.06913,1.1713,0,0,0.000671446,0.0708959,0.0%,0.0%,0.9%,99.1%
268.05,73.2903,1.06953,1.13445,0,0,0.000644485,0.0685742,0.0%,0.0%,0.9%,99.1%
268,72.2276,1.06993,1.09915,0,0,0.000618174,0.0663015,0.0%,0.0%,0.9%,99.1%
267.95,71.1973,1.07032,1.0657,0,0,0.000593953,0.0642111,0.0%,0.0%,0.9%,99.1%
267.9,70.1982,1.07072,1.03363,0,0,0.000570403,0.0621727,0.0%,0.0%,0.9%,99.1%
267.85,69.2287,1.07112,1.00302,0,0,0.000548017,0.0602324,0.0%,0.0%,0.9%,99.1%
267.8,68.2876,1.07151,0.973767,0,0,0.000526739,0.0583861,0.0%,0.0%,0.9%,99.1%
267.75,67.3737,1.07191,0.945776,0,0,0.000506388,0.0566171,0.0%,0.0%,0.9%,99.1%
267.7,66.4857,1.07231,0.918983,0,0,0.000486958,0.0549258,0.0%,0.0%,0.9%,99.1%
267.65,65.6226,1.07271,0.893311,0,0,0.000468364,0.0533042,0.0%,0.0%,0.9%,99.1%
267.6,64.7833,1.0731,0.868695,0,0,0.000450546,0.0517471,0.0%,0.0%,0.9%,99.1%
267.55,63.9669,1.0735,0.845133,0,0,0.000433659,0.0502719,0.0%,0.0%,0.9%,99.1%
267.5,63.1724,1.0739,0.822476,0,0,0.000417327,0.0488397,0.0%,0.0%,0.8%,99.2%
267.45,62.3991,1.0743,0.800735,0,0,0.000401729,0.0474704,0.0%,0.0%,0.8%,99.2%
267.4,61.6459,1.07469,0.779843,0,0,0.000386762,0.0461537,0.0%,0.0%,0.8%,99.2%
267.35,60.9122,1.07509,0.759773,0,0,0.000372447,0.0448929,0.0%,0.0%,0.8%,99.2%
267.3,60.1972,1.07549,0.740479,0,0,0.000358738,0.0436843,0.0%,0.0%,0.8%,99.2%
267.25,59.5003,1.07589,0.721897,0,0,0.00034552,0.0425149,0.0%,0.0%,0.8%,99.2%
267.2,58.8206,1.07628,0.704009,0,0,0.000332829,0.04139,0.0%,0.0%,0.8%,99.2%
267.15,58.1576,1.07668,0.686797,0,0,0.000320691,0.0403141,0.0%,0.0%,0.8%,99.2%
267.1,57.5108,1.07708,0.670197,0,0,0.000308977,0.0392718,0.0%,0.0%,0.8%,99.2%
267.05,56.8794,1.07747,0.654201,0,0,0.000297732,0.03827,0.0%,0.0%,0.8%,99.2%
267,56.2629,1.07787,0.638723,0,0,0.000286765,0.037283,0.0%,0.0%,0.8%,99.2%
266.95,55.6609,1.07827,0.623856,0,0,0.000276421,0.03636,0.0%,0.0%,0.8%,99.2%
266.9,55.0728,1.07867,0.609511,0,0,0.000266477,0.0354723,0.0%,0.0%,0.7%,99.3%
266.85,54.4982,1.07906,0.595721,0,0,0.000257078,0.0346445,0.0%,0.0%,0.7%,99.3%
266.8,53.9365,1.07946,0.582235,0,0,0.000247543,0.0337715,0.0%,0.0%,0.7%,99.3%
266.75,53.3874,1.07985,0.569279,0,0,0.000238587,0.0329635,0.0%,0.0%,0.7%,99.3%
266.7,52.8504,1.08025,0.556738,0,0,0.000229911,0.0321757,0.0%,0.0%,0.7%,99.3%
266.65,52.3251,1.08065,0.544646,0,0,0.000221647,0.0314319,0.0%,0.0%,0.7%,99.3%
266.6,51.8112,1.08104,0.53292,0,0,0.000213601,0.0307001,0.0%,0.0%,0.7%,99.3%
266.55,51.3083,1.08144,0.521546,0,0,0.000205782,0.0299807,0.0%,0.0%,0.7%,99.3%
266.5,50.816,1.08184,0.510591,0,0,0.000198374,0.0293125,0.0%,0.0%,0.7%,99.3%
266.45,50.3341,1.08223,0.499945,0,0,0.000191135,0.0286486,0.0%,0.0%,0.7%,99.3%
266.4,49.8621,1.08262,0.489754,0,0,0.000184409,0.0280693,0.0%,0.0%,0.7%,99.3%
266.35,49.3998,1.08302,0.479545,0,0,0.000177208,0.0273389,0.0%,0.0%,0.6%,99.4%
266.3,48.9468,1.08342,0.469954,0,0,0.000170899,0.026788,0.0%,0.0%,0.6%,99.4%
266.25,48.503,1.08381,0.460568,0,0,0.00016462,0.0262113,0.0%,0.0%,0.6%,99.4%
266.2,48.068,1.08421,0.451434,0,0,0.000158499,0.0256374,0.0%,0.0%,0.6%,99.4%
266.15,47.6416,1.0846,0.442602,0,0,0.000152633,0.0250973,0.0%,0.0%,0.6%,99.4%
266.1,47.2234,1.085,0.434006,0,0,0.000146925,0.0245622,0.0%,0.0%,0.6%,99.4%
266.05,46.8134,1.08539,0.42568,0,0,0.000141429,0.024054,0.0%,0.0%,0.6%,99.4%
266,46.4112,1.08578,0.417653,0,0,0.00013617,0.0235953,0.0%,0.0%,0.6%,99.4%
265.95,46.0165,1.08618,0.409625,0,0,0.000130837,0.0230208,0.0%,0.0%,0.6%,99.4%
265.9,45.6293,1.08658,0.402016,0,0,0.000125891,0.0225711,0.0%,0.0%,0.6%,99.4%
265.85,45.2493,1.08697,0.394661,0,0,0.000121105,0.0221587,0.0%,0.0%,0.5%,99.5%
265.8,44.8764,1.08737,0.387412,0,0,0.000116393,0.0217033,0.0%,0.0%,0.5%,99.5%
265.75,44.5101,1.08776,0.380348,0,0,0.000111833,0.0212517,0.0%,0.0%,0.5%,99.5%
265.7,44.1505,1.08816,0.373462,0,0,0.000107432,0.0208044,0.0%,0.0%,0.5%,99.5%
265.65,43.7974,1.08855,0.366924,0,0,0.000103162,0.0204669,0.0%,0.0%,0.5%,99.5%
265.6,43.4505,1.08894,0.360378,0,0,9.90E-05,0.0200295,0.0%,0.0%,0.5%,99.5%
265.55,43.1098,1.08933,0.354081,0,0,9.50E-05,0.0196505,0.0%,0.0%,0.5%,99.5%
265.5,42.7749,1.08973,0.347941,0,0,9.11E-05,0.0192766,0.0%,0.0%,0.5%,99.5%
265.45,42.4459,1.09012,0.34195,0,0,8.73E-05,0.0189061,0.0%,0.0%,0.5%,99.5%
265.4,42.1225,1.09051,0.336092,0,0,8.37E-05,0.018532,0.0%,0.0%,0.4%,99.6%
265.35,41.8046,1.0909,0.330465,0,0,8.01E-05,0.0182199,0.0%,0.0%,0.4%,99.6%
265.3,41.4921,1.0913,0.324905,0,0,7.66E-05,0.0178679,0.0%,0.0%,0.4%,99.6%
265.25,41.1848,1.09169,0.319502,0,0,7.33E-05,0.0175367,0.0%,0.0%,0.4%,99.6%
265.2,40.8825,1.09208,0.314233,0,0,7.01E-05,0.0172134,0.0%,0.0%,0.4%,99.6%
265.15,40.5853,1.09247,0.309103,0,0,6.69E-05,0.0169041,0.0%,0.0%,0.4%,99.6%
265.1,40.2929,1.09286,0.304091,0,0,6.38E-05,0.0165982,0.0%,0.0%,0.4%,99.6%
265.05,40.0052,1.09325,0.299203,0,0,6.08E-05,0.0163011,0.0%,0.0%,0.4%,99.6%
265,39.722,1.09365,0.294383,0,0,5.81E-05,0.0159773,0.0%,0.0%,0.4%,99.6%
264.95,39.4436,1.09403,0.289841,0,0,5.49E-05,0.0157758,0.0%,0.0%,0.3%,99.7%
264.9,39.1694,1.09442,0.285218,0,0,5.24E-05,0.0154461,0.0%,0.0%,0.3%,99.7%
264.85,38.8994,1.09482,0.280733,0,0,5.00E-05,0.0151442,0.0%,0.0%,0.3%,99.7%
264.8,38.6338,1.0952,0.276508,0,0,4.69E-05,0.0149633,0.0%,0.0%,0.3%,99.7%
264.75,38.3722,1.09559,0.27221,0,0,4.47E-05,0.0146625,0.0%,0.0%,0.3%,99.7%
264.7,38.1145,1.09599,0.268054,0,0,4.23E-05,0.0144002,0.0%,0.0%,0.3%,99.7%
264.65,37.8609,1.09637,0.264053,0,0,3.97E-05,0.0141888,0.0%,0.0%,0.3%,99.7%
264.6,37.611,1.09676,0.260052,0,0,3.77E-05,0.0139144,0.0%,0.0%,0.3%,99.7%
264.55,37.3649,1.09715,0.25624,0,0,3.51E-05,0.0137228,0.0%,0.0%,0.3%,99.7%
264.5,37.1224,1.09754,0.252406,0,0,3.33E-05,0.0134526,0.0%,0.0%,0.2%,99.8%
264.45,36.8836,1.09792,0.248764,0,0,3.08E-05,0.0132732,0.0%,0.0%,0.2%,99.8%
264.4,36.6482,1.09831,0.24512,0,0,2.89E-05,0.0130325,0.0%,0.0%,0.2%,99.8%
264.35,36.4162,1.0987,0.241585,0,0,2.69E-05,0.0128209,0.0%,0.0%,0.2%,99.8%
264.3,36.1875,1.09909,0.23813,0,0,2.49E-05,0.0126174,0.0%,0.0%,0.2%,99.8%
264.25,35.9622,1.09947,0.234743,0,0,2.30E-05,0.0124134,0.0%,0.0%,0.2%,99.8%
264.2,35.74,1.09986,0.231427,0,0,2.12E-05,0.012213,0.0%,0.0%,0.2%,99.8%
264.15,35.521,1.10025,0.228185,0,0,1.94E-05,0.0120209,0.0%,0.0%,0.2%,99.8%
264.1,35.305,1.10063,0.225008,0,0,1.76E-05,0.0118292,0.0%,0.0%,0.1%,99.9%
264.05,35.092,1.10102,0.2219,0,0,1.59E-05,0.0116447,0.0%,0.0%,0.1%,99.9%
264,34.8819,1.10141,0.218832,0,0,1.45E-05,0.0114428,0.0%,0.0%,0.1%,99.9%
263.95,34.6748,1.10179,0.215892,0,0,1.24E-05,0.0113027,0.0%,0.0%,0.1%,99.9%
263.9,34.4705,1.10218,0.212955,0,0,1.10E-05,0.0111149,0.0%,0.0%,0.1%,99.9%
263.85,34.2689,1.10257,0.210068,0,0,9.79E-06,0.0109219,0.0%,0.0%,0.1%,99.9%
263.8,34.0701,1.10295,0.207308,0,0,7.68E-06,0.0107962,0.0%,0.0%,0.1%,99.9%
263.75,33.874,1.10333,0.204537,0,0,6.53E-06,0.0106123,0.0%,0.0%,0.1%,99.9%
263.7,33.6804,1.10371,0.20184,0,0,5.15E-06,0.0104497,0.0%,0.0%,0.0%,100.0%
263.65,33.4893,1.1041,0.199196,0,0,3.82E-06,0.0102902,0.0%,0.0%,0.0%,100.0%
263.6,33.3008,1.10448,0.196615,0,0,2.34E-06,0.010145,0.0%,0.0%,0.0%,100.0%
263.55,33.1146,1.10487,0.194051,0,0,1.47E-06,0.00997005,0.0%,0.0%,0.0%,100.0%
263.5,32.9309,1.10525,0.191598,0,0,0,0.00985637,0.0%,0.0%,0.0%,100.0%
263.45,32.7496,1.10563,0.189147,0,0,0,0.00969859,0.0%,0.0%,0.0%,100.0%
263.4,32.5706,1.10601,0.186763,0,0,0,0.0095634,0.0%,0.0%,0.0%,100.0%
263.35,32.3939,1.10639,0.18441,0,0,0,0.00941657,0.0%,0.0%,0.0%,100.0%
263.3,32.2193,1.10678,0.182098,0,0,0,0.00927026,0.0%,0.0%,0.0%,100.0%
263.25,32.047,1.10716,0.179843,0,0,0,0.00913908,0.0%,0.0%,0.0%,100.0%
263.2,31.8768,1.10754,0.177625,0,0,0,0.00900622,0.0%,0.0%,0.0%,100.0%
263.15,31.7088,1.10791,0.175464,0,0,0,0.00889149,0.0%,0.0%,0.0%,100.0%
263.1,31.5427,1.1083,0.173301,0,0,0,0.00873849,0.0%,0.0%,0.0%,100.0%
263.05,31.3788,1.10867,0.171229,0,0,0,0.00863746,0.0%,0.0%,0.0%,100.0%
263,31.2304,1.10915,0.161548,0,0,0,0.000994346,0.0%,0.0%,0.0%,100.0%
262.95,31.0701,1.10953,0.167252,0,0,0,0.00843941,0.0%,0.0%,0.0%,100.0%
262.9,30.9118,1.1099,0.165265,0,0,0,0.00832204,0.0%,0.0%,0.0%,100.0%
262.85,30.7554,1.11028,0.163313,0,0,0,0.00820644,0.0%,0.0%,0.0%,100.0%
262.8,30.6008,1.11066,0.161394,0,0,0,0.00809069,0.0%,0.0%,0.0%,100.0%
262.75,30.448,1.11104,0.15951,0,0,0,0.00797926,0.0%,0.0%,0.0%,100.0%
262.7,30.297,1.11142,0.157657,0,0,0,0.00786783,0.0%,0.0%,0.0%,100.0%
262.65,30.1478,1.11179,0.155839,0,0,0,0.00776039,0.0%,0.0%,0.0%,100.0%
262.6,30.0003,1.11217,0.15405,0,0,0,0.0076535,0.0%,0.0%,0.0%,100.0%
262.55,29.8545,1.11255,0.152293,0,0,0,0.00754901,0.0%,0.0%,0.0%,100.0%
262.5,29.7104,1.11292,0.150566,0,0,0,0.00744642,0.0%,0.0%,0.0%,100.0%
262.45,29.5679,1.1133,0.148868,0,0,0,0.00734537,0.0%,0.0%,0.0%,100.0%
262.4,29.4271,1.11368,0.1472,0,0,0,0.00724701,0.0%,0.0%,0.0%,100.0%
262.35,29.2878,1.11405,0.145559,0,0,0,0.00714946,0.0%,0.0%,0.0%,100.0%
262.3,29.15,1.11443,0.143945,0,0,0,0.00705396,0.0%,0.0%,0.0%,100.0%
262.25,29.0138,1.1148,0.142359,0,0,0,0.00696044,0.0%,0.0%,0.0%,100.0%
262.2,28.8791,1.11518,0.140798,0,0,0,0.00686804,0.0%,0.0%,0.0%,100.0%
262.15,28.7459,1.11555,0.139264,0,0,0,0.00677764,0.0%,0.0%,0.0%,100.0%
262.1,28.6141,1.11592,0.137754,0,0,0,0.0066886,0.0%,0.0%,0.0%,100.0%
262.05,28.4838,1.1163,0.136269,0,0,0,0.00660131,0.0%,0.0%,0.0%,100.0%
262,28.3549,1.11667,0.134808,0,0,0,0.00651511,0.0%,0.0%,0.0%,100.0%
261.95,28.2273,1.11704,0.133371,0,0,0,0.00643079,0.0%,0.0%,0.0%,100.0%
261.9,28.1012,1.11742,0.131956,0,0,0,0.00634776,0.0%,0.0%,0.0%,100.0%
261.85,27.9763,1.11779,0.130565,0,0,0,0.0062666,0.0%,0.0%,0.0%,100.0%
261.8,27.8528,1.11816,0.129194,0,0,0,0.00618546,0.0%,0.0%,0.0%,100.0%
261.75,27.7306,1.11853,0.127847,0,0,0,0.00610769,0.0%,0.0%,0.0%,100.0%
261.7,27.6097,1.1189,0.126519,0,0,0,0.00602874,0.0%,0.0%,0.0%,100.0%
261.65,27.49,1.11928,0.125213,0,0,0,0.00595332,0.0%,0.0%,0.0%,100.0%
261.6,27.3716,1.11965,0.123927,0,0,0,0.00587817,0.0%,0.0%,0.0%,100.0%
261.55,27.2542,1.12003,0.122643,0,0,0,0.00578283,0.0%,0.0%,0.0%,100.0%
261.5,27.1383,1.12039,0.12142,0,0,0,0.00574025,0.0%,0.0%,0.0%,100.0%
261.45,27.0236,1.12076,0.120197,0,0,0,0.00567455,0.0%,0.0%,0.0%,100.0%
261.4,26.9099,1.12113,0.118976,0,0,0,0.00558954,0.0%,0.0%,0.0%,100.0%
261.35,26.7974,1.1215,0.117785,0,0,0,0.00552113,0.0%,0.0%,0.0%,100.0%
261.3,26.686,1.12186,0.116612,0,0,0,0.00545316,0.0%,0.0%,0.0%,100.0%
261.25,26.5758,1.12223,0.115457,0,0,0,0.00538594,0.0%,0.0%,0.0%,100.0%
261.2,26.4666,1.1226,0.114319,0,0,0,0.00532078,0.0%,0.0%,0.0%,100.0%
261.15,26.3585,1.12297,0.113197,0,0,0,0.00525533,0.0%,0.0%,0.0%,100.0%
261.1,26.2515,1.12334,0.112092,0,0,0,0.00519193,0.0%,0.0%,0.0%,100.0%
261.05,26.1455,1.1237,0.111004,0,0,0,0.00512954,0.0%,0.0%,0.0%,100.0%
261,26.0406,1.12407,0.10993,0,0,0,0.00506743,0.0%,0.0%,0.0%,100.0%
260.95,25.9367,1.12444,0.108873,0,0,0,0.00500629,0.0%,0.0%,0.0%,100.0%
260.9,25.8337,1.1248,0.107831,0,0,0,0.0049468,0.0%,0.0%,0.0%,100.0%
260.85,25.7318,1.12517,0.106804,0,0,0,0.00488823,0.0%,0.0%,0.0%,100.0%
260.8,25.6309,1.12553,0.105792,0,0,0,0.00482987,0.0%,0.0%,0.0%,100.0%
260.75,25.5309,1.1259,0.104794,0,0,0,0.00477275,0.0%,0.0%,0.0%,100.0%
260.7,25.4318,1.12627,0.10381,0,0,0,0.00471617,0.0%,0.0%,0.0%,100.0%
260.65,25.3337,1.12663,0.10284,0,0,0,0.00466113,0.0%,0.0%,0.0%,100.0%
260.6,25.2365,1.12699,0.101884,0,0,0,0.00460691,0.0%,0.0%,0.0%,100.0%
260.55,25.1402,1.12736,0.100941,0,0,0,0.00455286,0.0%,0.0%,0.0%,100.0%
260.5,25.0449,1.12772,0.100011,0,0,0,0.00449995,0.0%,0.0%,0.0%,100.0%
260.45,24.9503,1.12809,0.099094,0,0,0,0.00444754,0.0%,0.0%,0.0%,100.0%
260.4,24.8567,1.12845,0.0981898,0,0,0,0.00439651,0.0%,0.0%,0.0%,100.0%
260.35,24.7639,1.12881,0.0972981,0,0,0,0.0043462,0.0%,0.0%,0.0%,100.0%
260.3,24.672,1.12917,0.0964181,0,0,0,0.00429608,0.0%,0.0%,0.0%,100.0%
260.25,24.5809,1.12954,0.0955501,0,0,0,0.00424677,0.0%,0.0%,0.0%,100.0%
260.2,24.4906,1.1299,0.0946944,0,0,0,0.00419887,0.0%,0.0%,0.0%,100.0%
260.15,24.4012,1.13026,0.0938496,0,0,0,0.00415097,0.0%,0.0%,0.0%,100.0%
260.1,24.3125,1.13062,0.0930164,0,0,0,0.00410401,0.0%,0.0%,0.0%,100.0%
260.05,24.2246,1.13098,0.0921942,0,0,0,0.00405772,0.0%,0.0%,0.0%,100.0%
260,24.1376,1.13134,0.091383,0,0,0,0.00401211,0.0%,0.0%,0.0%,100.0%
259.95,24.0512,1.1317,0.0905825,0,0,0,0.00396716,0.0%,0.0%,0.0%,100.0%
259.9,23.9657,1.13206,0.0897925,0,0,0,0.00392274,0.0%,0.0%,0.0%,100.0%
259.85,23.8809,1.13242,0.089013,0,0,0,0.00387937,0.0%,0.0%,0.0%,100.0%
259.8,23.7968,1.13278,0.0882434,0,0,0,0.00383612,0.0%,0.0%,0.0%,100.0%
259.75,23.7135,1.13314,0.0874839,0,0,0,0.00379359,0.0%,0.0%,0.0%,100.0%
259.7,23.6309,1.1335,0.0867343,0,0,0,0.00375183,0.0%,0.0%,0.0%,100.0%
259.65,23.5489,1.13386,0.0859944,0,0,0,0.00371073,0.0%,0.0%,0.0%,100.0%
259.6,23.4677,1.13422,0.0852637,0,0,0,0.0036698,0.0%,0.0%,0.0%,100.0%
259.55,23.3872,1.13457,0.0845426,0,0,0,0.00362982,0.0%,0.0%,0.0%,100.0%
259.5,23.3074,1.13493,0.0838306,0,0,0,0.00359028,0.0%,0.0%,0.0%,100.0%
259.45,23.2283,1.13529,0.0831275,0,0,0,0.00355129,0.0%,0.0%,0.0%,100.0%
259.4,23.1498,1.13565,0.0824335,0,0,0,0.00351299,0.0%,0.0%,0.0%,100.0%
259.35,23.0719,1.136,0.0817478,0,0,0,0.00347476,0.0%,0.0%,0.0%,100.0%
259.3,22.9948,1.13636,0.081071,0,0,0,0.00343751,0.0%,0.0%,0.0%,100.0%
259.25,22.9182,1.13672,0.0804026,0,0,0,0.00340088,0.0%,0.0%,0.0%,100.0%
259.2,22.8423,1.13707,0.0797421,0,0,0,0.00336399,0.0%,0.0%,0.0%,100.0%
259.15,22.7671,1.13743,0.0790902,0,0,0,0.00332835,0.0%,0.0%,0.0%,100.0%
259.1,22.6924,1.13778,0.0784461,0,0,0,0.00329295,0.0%,0.0%,0.0%,100.0%
259.05,22.6184,1.13814,0.0778099,0,0,0,0.00325805,0.0%,0.0%,0.0%,100.0%
259,22.5449,1.13849,0.0771815,0,0,0,0.00322354,0.0%,0.0%,0.0%,100.0%
258.95,22.4721,1.13885,0.0765606,0,0,0,0.00318958,0.0%,0.0%,0.0%,100.0%
258.9,22.3998,1.1392,0.0759473,0,0,0,0.00315609,0.0%,0.0%,0.0%,100.0%
258.85,22.3281,1.13955,0.0753413,0,0,0,0.00312288,0.0%,0.0%,0.0%,100.0%
258.8,22.257,1.13991,0.0747426,0,0,0,0.00309028,0.0%,0.0%,0.0%,100.0%
258.75,22.1865,1.14026,0.0741515,0,0,0,0.00305874,0.0%,0.0%,0.0%,100.0%
258.7,22.1165,1.14061,0.0735666,0,0,0,0.00302633,0.0%,0.0%,0.0%,100.0%
258.65,22.0471,1.14097,0.0729886,0,0,0,0.0029943,0.0%,0.0%,0.0%,100.0%
258.6,21.9782,1.14132,0.0724181,0,0,0,0.00296378,0.0%,0.0%,0.0%,100.0%
258.55,21.9099,1.14167,0.0718545,0,0,0,0.00293423,0.0%,0.0%,0.0%,100.0%
258.5,21.8421,1.14202,0.071297,0,0,0,0.0029041,0.0%,0.0%,0.0%,100.0%
258.45,21.7747,1.14238,0.0707383,0,0,0,0.00286026,0.0%,0.0%,0.0%,100.0%
258.4,21.708,1.14273,0.070204,0,0,0,0.00284959,0.0%,0.0%,0.0%,100.0%
258.35,21.6419,1.14307,0.0696658,0,0,0,0.00282093,0.0%,0.0%,0.0%,100.0%
258.3,21.5762,1.14342,0.0691305,0,0,0,0.0027865,0.0%,0.0%,0.0%,100.0%
258.25,21.5109,1.14377,0.0686044,0,0,0,0.00275814,0.0%,0.0%,0.0%,100.0%
258.2,21.4465,1.14411,0.0680925,0,0,0,0.00274549,0.0%,0.0%,0.0%,100.0%
258.15,21.382,1.14447,0.0675621,0,0,0,0.00268742,0.0%,0.0%,0.0%,100.0%
258.1,21.3183,1.14482,0.0670619,0,0,0,0.00267533,0.0%,0.0%,0.0%,100.0%
258.05,21.255,1.14517,0.0665594,0,0,0,0.00264861,0.0%,0.0%,0.0%,100.0%
258,21.1922,1.14552,0.0660626,0,0,0,0.00262223,0.0%,0.0%,0.0%,100.0%
257.95,21.1299,1.14587,0.0655711,0,0,0,0.0025959,0.0%,0.0%,0.0%,100.0%
257.9,21.0681,1.14622,0.0650852,0,0,0,0.0025699,0.0%,0.0%,0.0%,100.0%
257.85,21.0067,1.14657,0.0646049,0,0,0,0.00254471,0.0%,0.0%,0.0%,100.0%
257.8,20.9458,1.14691,0.0641296,0,0,0,0.00251908,0.0%,0.0%,0.0%,100.0%
257.75,20.8853,1.14726,0.0636598,0,0,0,0.00249451,0.0%,0.0%,0.0%,100.0%
257.7,20.8253,1.14761,0.063195,0,0,0,0.00246977,0.0%,0.0%,0.0%,100.0%
257.65,20.7657,1.14795,0.0627354,0,0,0,0.00244556,0.0%,0.0%,0.0%,100.0%
257.6,20.7065,1.1483,0.0622806,0,0,0,0.00242128,0.0%,0.0%,0.0%,100.0%
257.55,20.6478,1.14865,0.0618311,0,0,0,0.0023979,0.0%,0.0%,0.0%,100.0%
257.5,20.5895,1.14899,0.0613862,0,0,0,0.00237436,0.0%,0.0%,0.0%,100.0%
257.45,20.5316,1.14934,0.0609462,0,0,0,0.00235124,0.0%,0.0%,0.0%,100.0%
